path,generated_question,generated_answer
d7/d78e10df.jpg,What shape is this?,Sphere
45/4542c884.jpg,What color is the object?,black
b5/b5a466bf.jpg,What color are the grapefruits?,Orange
c2/c2ac0441.jpg,What shape is the slice?,Triangle
d4/d4a2586b.jpg,What color is the pasta?,Yellow
c2/c2e8b3be.jpg,Is the shelf metallic?,Yes
4b/4be2c6eb.jpg,Is the boot denim?,Yes
7e/7ee55cb8.jpg,What color are the trunks?,Gray
b0/b0b3241a.jpg,What color is the lid?,Purple
c4/c4d9a09c.jpg,What is boot's primary material?,Suede
2c/2c780beb.jpg,What color is the support?,Black
58/58129988.jpg,What is the rod's finish?,Silver
17/17cbbecb.jpg,What color is the trim?,Green
d8/d83da0b7.jpg,What is the dial's color?,Blue
dd/dd5c7454.jpg,What color is the lid?,white
96/9603ced2.jpg,What color is the wrapper?,Red
ea/eaeb3dc3.jpg,What color are prunes?,Black
8f/8f306c31.jpg,What color is the bottle?,Brown
c1/c1a25a10.jpg,What color is the bottle?,brown
22/22157918.jpg,What color is the bottle?,Green
ff/ffdd589e.jpg,What color is the milk?,White
74/7495e403.jpg,What color is bag?,Clear
35/355d7804.jpg,What tone is the fabric?,Cream
dc/dcceba23.jpg,What color is the cheddar?,White
3f/3f12c682.jpg,What color is the bottle?,white
f1/f101a238.jpg,What shape is this table?,Rectangular
f8/f8157586.jpg,Is the mat rectangular?,Yes
8d/8de8bb2d.jpg,What is the bag's material?,Plastic
64/645c9efd.jpg,What color is the table?,White
0b/0bbe9f8f.jpg,What color is the chair?,Red
ee/ee0ad7c0.jpg,Are the pears diced?,Yes
b8/b890c316.jpg,What color are the armrests?,Silver
7f/7f99d284.jpg,Is the bag transparent?,Yes
f7/f70b55b2.jpg,Is the bowl white?,Yes
0f/0fc54983.jpg,What color are the peanuts?,Brown
6a/6a82ba70.jpg,Are these eggs brown?,Yes
df/df563ab3.jpg,What is the item's material?,Ceramic
b9/b98bbd8e.jpg,Is the frame dark?,Yes
a5/a5fc0dc1.jpg,What color is it?,White
3b/3bd551af.jpg,What color are the sheets?,White
6c/6c79d6b4.jpg,What is the plates' primary color?,Beige
da/da59c5e7.jpg,What shape is the stone?,Heart
6b/6bd76aee.jpg,What color is the sandal?,Aqua
d5/d504d254.jpg,Is the sheet light?,Yes
a0/a0c46845.jpg,What shape does the harness make?,X
8f/8fec7069.jpg,What color is the lid?,Green
cb/cbd7a6c5.jpg,What is the bottle's primary color?,White
26/262766c6.jpg,Are the beans red?,Yes
34/34ab39c9.jpg,What color are the seeds?,brown
9e/9ea39211.jpg,What is the tablecloth's clarity?,Clear
78/788d4a94.jpg,What color is the can?,White
1b/1bc0a2cf.jpg,What color are the gloves?,Gray
c0/c0e06773.jpg,What shape is the tabletop?,Octagon
ba/ba0b226e.jpg,What heel shape is visible?,Block
5b/5b357a31.jpg,What color is the left suitcase?,Red
5a/5ae50a08.jpg,What material is the sifter?,Metal
23/2302fa0c.jpg,What is the primary color?,Blue
64/64b31763.jpg,"What color is the ""Lasagne"" text?",Red
36/3690fade.jpg,What shape are the ravioli?,Square
9e/9ef32dad.jpg,What decorates the hat?,Skull
ed/ed746df5.jpg,Is the fabric dark?,Yes
3e/3ea6ca4c.jpg,What is package's color?,Beige
1f/1fb8da85.jpg,What color are the bulbs?,White
cb/cbbb510f.jpg,What color are pillows?,White
0a/0ae7a65b.jpg,Are the earrings spherical?,Yes
b2/b27ee3e5.jpg,What color is the liquid?,brown
7e/7ec3a3ed.jpg,Is the product patterned?,Yes
07/07a789f0.jpg,What topping is visible?,Strawberries
ad/ada665a2.jpg,What color is the bag?,Green
ad/ad798740.jpg,What shape is the placemat?,Rectangle
d1/d1dcdb73.jpg,Is the chair cushioned?,Yes
eb/eb81a4e0.jpg,What pattern is the duvet?,Solid
53/53038b21.jpg,What color is the seaweed?,Green
a5/a53af05f.jpg,What color is the liquid?,Brown
0b/0bf4aa16.jpg,Is the fabric grey?,Yes
77/774b19bc.jpg,Is the bag transparent?,Yes
71/713e042b.jpg,What shape are the earrings?,Round
07/07ff5885.jpg,What color is the bottle's cap?,black
bf/bfce7aeb.jpg,What flavor is this yogurt?,Blueberry
67/67546b73.jpg,What color are the noodles?,Beige
1c/1c72b439.jpg,What is the gemstones hue?,Aquamarine
f9/f9a9ca73.jpg,What material are the legs?,Wood
85/85973e34.jpg,Is the coffee ground?,Yes
de/de18869e.jpg,What shape are the stones?,Square
2e/2efc30ed.jpg,What color are the rolls?,White
5f/5fbc769f.jpg,What is the tray's transparency?,Clear
77/772bfd89.jpg,Is the rug rectangular?,Yes
3c/3cddde98.jpg,What flavor is this?,Chocolate
f0/f0cf0cf6.jpg,What color are the cherries?,Black
22/228800c7.jpg,What color is the writing?,Red
27/27bf14c4.jpg,What is the sandal's main material?,Leather
4d/4dddc093.jpg,What flavor is this smoothie?,Chocolate
d9/d9c6de32.jpg,What is the ring's primary color?,Silver
3d/3dc524d1.jpg,What shape are the legs?,Square
06/06030f2d.jpg,Are there multiple blankets?,Yes
ea/ea880e4e.jpg,What color is the sauce?,Orange
5e/5ee0e2d1.jpg,What color is the brand name?,Green
17/17aed62e.jpg,What color is the bag?,White
bb/bbc57ce9.jpg,Are these crackers rectangular?,Yes
e9/e9fa4cd7.jpg,What color is the fork?,White
eb/eb3df7d1.jpg,What color are the raspberries?,Red
2c/2c2f7ce4.jpg,What is at the throw's bottom?,Fringe
79/79e1ac74.jpg,What shape are the batteries?,Cylindrical
43/430509f3.jpg,What color are the gloves?,Pink
45/4514f867.jpg,Is this pasta organic?,Yes
20/206a0a61.jpg,What flavor is the gel?,Orange
e5/e54aea93.jpg,What color are these gloves?,Black
df/df90f112.jpg,What color is the cheese?,White
b1/b1d7cdb3.jpg,What is the primary color?,Green
8b/8b49a467.jpg,What color is the curry?,Yellow
b3/b3b679b5.jpg,What color is the material?,Black
98/98c5fce3.jpg,What shape are the earrings?,Infinity
4e/4e366d14.jpg,What is the bag's primary color?,White
dd/dd66b997.jpg,What closure is absent?,Zipper
89/89a8f795.jpg,What color is the bottle's cap?,White
42/42e486ad.jpg,What color is the chair?,Beige
3e/3e628588.jpg,What color is the bottle?,Red
87/87c11ce5.jpg,What shape are the pillows?,Square
e8/e85153cc.jpg,What color is the frame?,Black
0f/0f50c78e.jpg,What color is the jar?,Black
fc/fc3018b8.jpg,What shape is the box?,Rectangle
d4/d45e3afe.jpg,Is it striped?,Yes
f5/f5423e49.jpg,What shape is this object?,Rectangular
9d/9d3d4a97.jpg,Is the tabletop square?,Yes
2f/2f52b053.jpg,Is the package rectangular?,Yes
39/39ab1f98.jpg,Is this couch U-shaped?,Yes
cd/cdf533fc.jpg,Is the rug rectangular?,Yes
03/03626404.jpg,Is box square?,Yes
ab/ab19e116.jpg,Is the bread sliced?,Yes
0b/0b262f8d.jpg,What shape are most boxes?,Rectangular
f6/f662fb1f.jpg,Is the toe open?,Yes
db/db567160.jpg,What color is the bottle?,Brown
ef/ef795077.jpg,What flavor is listed?,Pumpkin
a7/a723ce88.jpg,What color is the lid?,Green
7d/7d8b41e5.jpg,What color is the spinach?,Green
5a/5aae70e7.jpg,Is this cereal?,Yes
43/43619a33.jpg,What color are the sticks?,Green
5a/5af7cbdc.jpg,Is there food?,Yes
b5/b5319e00.jpg,What is the background color?,White
e5/e5d1cd05.jpg,Is the packaging primarily white?,Yes
a8/a8abd5d3.jpg,Is the yogurt flavored?,Plain
04/04333b8a.jpg,Is the pumpkin orange?,Yes
a0/a0ca9cc3.jpg,What shape are the earrings?,Heart
b8/b8d8cd5e.jpg,Is ribbon yellow?,Yes
f9/f943d2bb.jpg,What pattern does the blanket have?,Cube
96/96727262.jpg,What is the boot's main material?,Leather
b1/b1b4cf34.jpg,What color is the image?,Gray
70/7021ae44.jpg,What shape are the earrings?,Knots
30/3072928c.jpg,What is on the pattern?,Skulls
df/dfb7c1e5.jpg,What shape is the back?,Elephant
c1/c1960f8e.jpg,Is the lid orange?,Yes
73/731a217d.jpg,What color is the cap?,Green
01/0184c5d0.jpg,What color are the seeds?,Beige
f4/f4ae3947.jpg,What color is the box?,Orange
a4/a41b5a8f.jpg,What color are the beans?,Brown
15/1572fc64.jpg,What is the product's color?,Black
b6/b61f91e9.jpg,What color is the slide?,White
0d/0def4986.jpg,What color is the label?,Purple
6c/6cc73d18.jpg,Are the packages white?,Yes
df/dfc41915.jpg,What is the tray's color?,White
28/285597f6.jpg,What color is the orange fruit?,orange
06/0654e992.jpg,Is ring shiny?,Yes
6c/6c6df52b.jpg,What is the icing's color?,White
e8/e8811ab9.jpg,What color is the packaging?,White
e3/e38e590f.jpg,What color is the powder?,Yellow
9e/9e6a1a0b.jpg,Is this framed?,Yes
f1/f160cb55.jpg,What color is the bag?,Red
cc/cc22828c.jpg,What color are the penguins?,Black
ad/ad309690.jpg,What color are the stripes?,White
69/697d810f.jpg,What color is the box?,Pink
c2/c258bc44.jpg,What is the earring's color?,gold
aa/aa0e6a02.jpg,What color is the frame?,Green
d6/d621e2e4.jpg,What color is the juice?,Orange
ea/ea5166e3.jpg,What pattern is visible?,Stripes
87/87908ee2.jpg,What color are the leaves?,Green
9f/9f6818e3.jpg,What color is the mat?,Gray
d9/d93eda53.jpg,What color is the bag?,Beige
dd/dd0e704f.jpg,Is content green?,Yes
60/609f52ca.jpg,What color are the noodles?,Yellow
39/396558a6.jpg,What color are the onions?,Red
60/60848281.jpg,Is the tabletop transparent?,Yes
56/5696c77c.jpg,Is the sofa dark?,Yes
49/49e9c08c.jpg,What color are the tomatoes?,Red
eb/ebaebfc6.jpg,What is the fruit's color?,Orange
17/179bd232.jpg,What color is the sole?,White
4e/4ef5108d.jpg,What is the boot's material?,Suede
d2/d2e21cd6.jpg,What color is the fruit?,Yellow
32/32d72760.jpg,Is this jar glass?,Yes
94/940e5605.jpg,What is the sheets' color?,Chestnut
d1/d13c2b76.jpg,What color is the pillow?,White
56/562a1ece.jpg,What color is the label background?,White
b1/b1b4cf34.jpg,What color are the letters?,Gray
bc/bc67c215.jpg,Is this rug orange?,Yes
a7/a74950db.jpg,What shade is the fabric?,Gray
87/874f86c4.jpg,What color are the letters?,Gray
b2/b2b61c57.jpg,What color is the sauce?,Yellow
8f/8f552c72.jpg,What is the bag's background?,White
a7/a7824876.jpg,What color is the container's lid?,Blue
68/6898bfcf.jpg,What shape is the ottoman?,Round
f3/f373e900.jpg,What shape is the pendant?,Rectangle
db/db911479.jpg,What is the cube's color?,Orange
1a/1a46f6ae.jpg,What flavor are the crackers?,Cheese
45/45167566.jpg,Are pulses visible?,Yes
a6/a691ef12.jpg,Is the glass clear?,Yes
72/72b8ad97.jpg,Is the boot brown?,Yes
30/30d480da.jpg,Is the container transparent?,Yes
e5/e5b48fd6.jpg,What is the pizza's base?,Cauliflower
82/8250fd8a.jpg,What color is the television?,black
8d/8d4160a0.jpg,What is handle made of?,Wood
ca/ca54a54d.jpg,Is the chicken organic?,Yes
0b/0bf4aa16.jpg,What color is the fabric?,Gray
9f/9f7c9160.jpg,Is this table square?,Yes
43/43b1ccca.jpg,What shape is the bottom crystal?,Heart
c6/c67255a3.jpg,Is the comforter patterned?,Yes
87/874bc830.jpg,What color is the bread?,Brown
11/11b4736a.jpg,Is the heel blocky?,Yes
6e/6ebc9177.jpg,"What color is the word ""RANCH""?",red
bf/bf7e4e16.jpg,What color is the bulb?,White
7e/7e1c0793.jpg,What color are the pancakes?,Yellow
65/65695c8b.jpg,What color are the linens?,Navy
16/166049ce.jpg,What is each box's shape?,Cube
fe/fe717204.jpg,"What color is the text ""CORN""?",Green
0b/0b2c53c0.jpg,What flavor are the pretzels?,Peanut
1b/1b9f775e.jpg,"What color is ""BLUEBERRY""?",Blue
74/74f915cf.jpg,What color is the bag?,White
7e/7ee2af13.jpg,What color is shown?,Blue
6e/6e21d695.jpg,Is this square?,Yes
e3/e3cd7cd8.jpg,Is this loaf sliced?,Yes
e8/e89384d0.jpg,What shape is the box?,Square
6e/6ef79880.jpg,What color is the bottle's cap?,Black
18/18885e05.jpg,Are the bags rectangular?,Yes
66/668d89d9.jpg,What shape are the embellishments?,Stars
80/80a32217.jpg,What pattern is the pillow?,Grid
70/7071e0f5.jpg,Is the salmon pink?,Yes
30/30853146.jpg,What is the pasta's color?,Yellow
cf/cf8a3955.jpg,What color is the main label?,Purple
26/26d61771.jpg,Is the container clear?,Yes
2b/2b8fb326.jpg,Are these beans?,Yes
d4/d4b1cdb8.jpg,What color is the chair?,Gray
f1/f1274e76.jpg,Is this chair upholstered?,Yes
4e/4e6ee190.jpg,What color are the fixtures?,White
21/21f053e3.jpg,What shape is the object?,Square
cc/cc0f14fb.jpg,What color are the trees?,Yellow
bc/bc71a91f.jpg,What color are the pillows?,White
8f/8fbbcded.jpg,What shape is this object?,Skull
71/7103226e.jpg,What color are the mats?,Pink
34/344d5cc0.jpg,What color are the leaves?,Red
e0/e0ab5157.jpg,What color is the label?,Red
38/380f38ac.jpg,What color is the mat?,Brown
ef/eff45324.jpg,What is the bedding's primary color?,Gray
36/36de9480.jpg,What color are these lights?,White
30/30976288.jpg,What color are the accents?,Yellow
5b/5bf74e89.jpg,What shape is the container?,Square
02/0256e134.jpg,What color is the berry?,Red
c9/c9df28ca.jpg,What color are the peas?,Green
5c/5cfa7ae5.jpg,What is sofa's primary color?,Blue
37/371a8ead.jpg,What pattern are these?,
cc/cc6ea18c.jpg,What color is the left circle?,Yellow
ba/baf91bee.jpg,What shape is the container?,Round
ea/ea170285.jpg,What color is the mop's head?,white
18/18fee77f.jpg,What color is the ketchup?,Red
df/dfabc473.jpg,What shade is the boot?,Black
3c/3c3c7d21.jpg,What color is the bottle's cap?,Black
cc/cc732de9.jpg,What color is the cap?,White
60/6029b2e1.jpg,What color is the lettering?,Red
dc/dc5de7a7.jpg,What number of legs does the table have?,Four
27/27877693.jpg,What is the rug's color?,Grey
ae/ae7772de.jpg,Are nuggets brown?,Yes
27/272d73d6.jpg,What color is the pillow?,Yellow
e6/e63a8f55.jpg,What color is the sauce?,Red
b0/b0921304.jpg,Is the sofa brown?,Yes
5b/5b35de86.jpg,Is the rod straight?,Yes
81/81fb9707.jpg,What color is the elephant?,Blue
9b/9bae7de3.jpg,Is the container cylindrical?,Yes
6a/6af49cd4.jpg,What is the dominant color?,Aqua
d0/d030768a.jpg,What is the sheet's tone?,Light
bc/bc777eb3.jpg,What is the bag's color?,White
76/76dab276.jpg,Is the stack rectangular?,Yes
e6/e69a0114.jpg,Is the bag clear?,Yes
87/87868d71.jpg,What color is the pump?,Blue
1d/1d1912ba.jpg,What color is the backhand?,Black
79/79573c13.jpg,What pattern is visible?,Weave
b7/b7a93819.jpg,What color is the bag's bottom?,Green
19/198ed323.jpg,What color is the lower section?,Pink
e0/e03283d1.jpg,What color are these sandals?,Black
a9/a919cd2c.jpg,What shape is the ottoman?,Rectangular
c7/c775a3fe.jpg,Are there handles?,Yes
86/8642ff02.jpg,"What color is the text ""tampons?""",green
bf/bf0251ce.jpg,What is the juice flavor?,Grape
df/dfb53f61.jpg,What color is the label?,Green
ca/ca5a8d70.jpg,What color is the cap?,Blue
1b/1b11bc42.jpg,What color is the box?,Brown
20/202d331e.jpg,What is the object's color?,Rosegold
82/82fe991a.jpg,What color is bulb?,White
d3/d322e3c6.jpg,What color are the bulbs?,White
bf/bff1cead.jpg,Is it transparent?,Yes
2a/2a5bde8a.jpg,What shape is the table?,Cube
33/33ffe044.jpg,What shape is the rug?,Rectangular
8d/8d0f766f.jpg,What shape are the screw heads?,Round
4e/4e02b460.jpg,Is box vertical?,Yes
48/48fb2d38.jpg,Is the lid metallic?,Gold
c7/c7c3e722.jpg,What color is the cheese?,Yellow
0a/0ac6c644.jpg,What is the sheet's pattern?,Stripes
af/afd88005.jpg,What is the boot's color?,Gray
25/25c54135.jpg,What color is the holder?,Orange
6c/6ca21cac.jpg,What color is the side panel?,Green
00/00de0fb5.jpg,What color is the juice?,Orange
42/42fc8348.jpg,What animal is pictured?,Dog
45/458f1bb0.jpg,What color is the ribbon?,Green
ed/edf2b647.jpg,What shape is the mat?,Rectangular
0c/0c8849cd.jpg,What color is the seat?,Cream
6b/6bb4d379.jpg,What color are the curtains?,Beige
26/26f9f717.jpg,What is the water bottle mostly?,Clear
e3/e31c9a8a.jpg,What color are the slides?,White
fc/fccd3127.jpg,What is the elephant's color?,blue
e2/e2aad8a4.jpg,What color are the lemons?,Yellow
42/427917d7.jpg,What shape is the pearl?,Oval
fb/fb43da0c.jpg,What color is the whipped cream text?,blue
fe/fe890322.jpg,What shape is it?,Square
73/73b84e35.jpg,What form are the cranberries?,Dried
a2/a24f1d90.jpg,What color is the chair?,Linen
5e/5e96e233.jpg,What is the flower's petal color?,White
fd/fdf33e0e.jpg,What flavor is displayed?,Strawberry
5a/5a0797b9.jpg,What color is the bottle?,Brown
f4/f4e63fc9.jpg,What color is the toe?,Blue
e5/e5c74d98.jpg,What color are the rubber bands?,Beige
3c/3c9abf81.jpg,What color is the bottom section?,blue
71/71bbd934.jpg,What is the bag's color?,White
34/34535d4b.jpg,What color are the eggs?,Brown
4d/4d035a4e.jpg,What color is the bottle?,Black
77/779ee451.jpg,What color are the packets?,Peach
01/011c2e81.jpg,Is this product organic?,Yes
32/32d63ef7.jpg,What color is the soup?,Brown
06/06b8a9f5.jpg,What color are the grapes?,Purple
5b/5b978531.jpg,What shape are the peppers?,Sliced
dc/dc781de6.jpg,Is the container clear?,Yes
93/93dae468.jpg,Are these almonds salted?,Yes
17/17d3f804.jpg,What color are the spoons?,Black
b9/b9a9a6bf.jpg,What color is the bedding?,Blue
a0/a0d050ba.jpg,What color is the sheet?,Beige
c1/c141a494.jpg,What color are the beans?,Black
7a/7aa702ff.jpg,What color is the cap?,Green
2a/2a47700e.jpg,What is the pot's material?,Metal
ef/efd77c41.jpg,What color is the frame?,Black
56/56596790.jpg,What color are the leaves?,Blue
39/39ae2070.jpg,What color is the container?,Black
93/93ca04e6.jpg,What color are the crisps?,Brown
b8/b87a11c7.jpg,What color are the pouches?,Purple
98/986e1c38.jpg,What shape are the pizza pieces?,Triangular
3c/3c8a0c70.jpg,What shape are the earrings?,Heart
fe/fe97ed59.jpg,What color is the bottom label?,Green
68/68c2e10d.jpg,Are there multiple hooks?,Yes
be/be307a5f.jpg,What color is the product?,Yellow
5d/5d571b4b.jpg,What color is the packaging?,Orange
17/17a0b5c4.jpg,What color are the blueberries?,Blue
23/236f5fc1.jpg,What color is the lid?,Blue
3f/3f64cfe9.jpg,"What surrounds ""Almonds"" on the box?",Beige
76/761944f0.jpg,What flavor is this chocolate?,Caramel
4b/4bc3b757.jpg,Is this product organic?,Yes
d8/d8d31004.jpg,What pattern is on the tie?,Stripes
0d/0df6df2f.jpg,What color is the label?,Green
45/45bce148.jpg,What item is shown?,Curtains
3a/3ad053e9.jpg,How many hearts are visible?,Two
3d/3d5f125e.jpg,What color is the bottle's cap?,Green
fb/fb009f47.jpg,Are the peppers loose?,Some
72/72d12cf7.jpg,What color is the cheese?,Orange
b5/b5319e00.jpg,What is the image's dominant color?,Gray
97/97a08f28.jpg,What color is the container?,White
35/3595924e.jpg,What color is the text?,Black
6c/6c23f10f.jpg,What shape are the fruits?,Round
b1/b1b4cf34.jpg,What is the image background?,White
dc/dc778a39.jpg,Is it rectangular?,Yes
ae/aecb828c.jpg,What color is the carton?,Red
47/47e7c667.jpg,What color are the spices?,Beige
0e/0ef6f584.jpg,What color is the lid?,Black
e6/e68f6628.jpg,What shape is the table's top?,Round
b0/b0dd9e2e.jpg,What color is the frame?,Black
07/078a189f.jpg,Is the chain silver?,Yes
61/61d29f8f.jpg,What pattern decorates the bedspread?,Floral
9f/9f6cf147.jpg,What is the quilt's primary color?,Blue
0b/0b038e1e.jpg,Is cheese yellow?,Yes
27/2790e310.jpg,What color is the box?,Black
f8/f8696531.jpg,What pattern is visible?,Splatter
ab/abb15eff.jpg,What activates the dispenser?,Pump
32/32c863f1.jpg,Are the stones round?,Yes
0e/0e7c70b2.jpg,What color are the beans?,White
67/674e69c4.jpg,What is the primary color?,Purple
b2/b2fa3873.jpg,What pattern is the cover?,Spotted
b6/b633c0a4.jpg,What shape is the icon?,Circle
73/734c67fe.jpg,What color are the fixtures?,White
05/0582fc91.jpg,What is the table made of?,Glass
e6/e670e6d0.jpg,What color is the lid?,Black
5a/5a8e6ac2.jpg,What color is the box?,black
2d/2dd51763.jpg,What color is the coffee's lid?,Red
9f/9f31a6fc.jpg,What color is this cabinet?,black
28/28e502d3.jpg,What color are the sheets?,White
07/0794fc96.jpg,What is the toe shape?,Pointed
ce/ceed3c03.jpg,What color are the bulbs?,White
a3/a3a3d345.jpg,What color are peaches?,Yellow
fe/fe2aa66e.jpg,What is the shoe's primary color?,Blue
